PDBID	CHAIN	EMBID	size	Tm	Te	taxid	organism	group
3FO8	D	AAA32541.1	283.0		37.0	10665.0	enterobacteria_phage	Virus
4KVZ	A	CBJ61641.1	270.0		36.0	1390.0	bacillus_amyloliquefaciens	Bacteria
2NWQ	A	AAG08292.1	272.0		32.3	287.0	pseudomonas_aeruginosa	Bacteria
3G16	A	ABM96254.1	156.0		26.0	420662.0	methylibium_petroleiphilum	Bacteria
4KQ7	A	EDO56131.1	374.0		37.0	411479.0	bacteroides_uniformis	Bacteria
2VDU	B	DAA12005.1	450.0		28.0	4932.0	saccharomyces_cerevisiae	Eukaryota
1IX9	A	CAA43108.1	205.0		37.0	562.0	escherichia_coli	Bacteria
1VKE	A	AAD36687.1	133.0		75.0	243274.0	thermotoga_maritima	Bacteria
3VF1	A	AAY98506.1	698.0			134440.0	gersemia_fruticosa	Eukaryota
2CJP	A	AAA81892.1	328.0			4113.0	solanum_tuberosum	Eukaryota
3TB6	A	CAB15402.2	298.0		35.0	1423.0	bacillus_subtilis	Bacteria
1ZKC	A	CAG30434.1	197.0		37.0	9606.0	homo_sapiens	Eukaryota
3WO9	A	BAJ14926.1	248.0			980415.0	lethenteron_camtschaticum	Eukaryota
1TF1	A	AAB93847.1	198.0		37.0	562.0	escherichia_coli	Bacteria
2DCC	A	AAA03064.1	256.0			9913.0	bos_taurus	Eukaryota
2YFV	B	CAG99830.1	74.0		25.0	284590.0	kluyveromyces_lactis	Eukaryota
4O1K	A	CAT00781.1	233.0		24.0	5147.0	sordaria_macrospora	Eukaryota
4LCB	A	AEE94218.1	367.0			933801.0	acidianus_hospitalis	Archaea
4ID0	A	AAY94900.2	214.0		28.0	1218948.0	pseudomonas_fluorescens	Bacteria
1O0X	A	AAD36544.1	262.0		79.0	2336.0	thermotoga_maritima	Bacteria
3GWZ	A	AAD32742.2	369.0		26.5	1914.0	streptomyces_lavendulae	Bacteria
1UFI	A	AAH53847.1	64.0		37.0	9606.0	homo_sapiens	Eukaryota
1EXR	A	AAA29443.1	148.0		25.0	5888.0	paramecium_tetraurelia	Eukaryota
1TF5	A	BAA01122.1	844.0		35.0	1423.0	bacillus_subtilis	Bacteria
4FR9	A	CAH06935.1	144.0		37.0	272559.0	bacteroides_fragilis	Bacteria
2IGS	A	AAG05610.1	219.0		32.3	287.0	pseudomonas_aeruginosa	Bacteria
1WTY	A	BAD69871.1	119.0		71.0	300852.0	thermus_thermophilus	Bacteria
4HSU	A	BAC03663.1	776.0		37.0	9606.0	homo_sapiens	Eukaryota
5PTI	A	CAA27063.1	58.0	104.5		9913.0	bos_taurus	Eukaryota
3B1D	A	BAF64493.1	392.0		37.0	1328.0	streptococcus_anginosus	Bacteria
2AUG	A	BAH13595.1	126.0		37.0	9606.0	homo_sapiens	Eukaryota
3MBR	X	AAM41496.1	243.0		27.0	340.0	xanthomonas_campestris	Bacteria
3NEY	A	AAD14835.1	197.0		37.0	9606.0	homo_sapiens	Eukaryota
2V1M	A	AAA29885.2	169.0			6183.0	schistosoma_mansoni	Eukaryota
3BV8	A	BAB57559.1	87.0		37.0	158878.0	staphylococcus_aureus	Bacteria
3EVO	A	AAV50687.1	146.0		25.0	212035.0	acanthamoeba_polyphaga	Virus
3TQO	A	AAO90984.2	462.0			777.0	coxiella_burnetii	Bacteria
2W2G	A	AAP94736.1	264.0			227859.0	human_sars	Virus
4KXL	A	AAB95314.1	152.0			10116.0	rattus_norvegicus	Eukaryota
4D5T	A	AAO89454.1	160.0			696871.0	vaccinia_virus	Virus
3IRA	A	AAM30315.1	173.0		36.0	192952.0	methanosarcina_mazei	Archaea
3D1R	A	BAE77385.1	337.0		36.0	83333.0	escherichia_coli	Bacteria
1CP2	A	CAA30359.1	269.0		36.0	1501.0	clostridium_pasteurianum	Bacteria
4G3F	A	AAD31512.1	336.0			10090.0	mus_musculus	Eukaryota
1UUF	A	BAE76108.1	369.0		36.0	83333.0	escherichia_coli	Bacteria
1NJH	A	CAB13839.1	119.0		35.0	1423.0	bacillus_subtilis	Bacteria
2J6V	A	AAS82382.1	301.0		72.0	274.0	thermus_thermophilus	Bacteria
4X0E	A	CCP45212.1	219.0		37.0	83332.0	mycobacterium_tuberculosis	Bacteria
4PF1	A	EMR73876.1	626.0			1198115.0	thaumarchaeota_archaeon	Archaea
3FSE	A	ABA24094.1	365.0		22.0	240292.0	anabaena_variabilis	Bacteria
2RCA	A	AAL69893.2	292.0			10116.0	rattus_norvegicus	Eukaryota
2QM0	A	AAP10660.1	275.0		30.0	226900.0	bacillus_cereus	Bacteria
3C25	A	ABC87270.1	383.0		31.0	1823.0	nocardia_otitidiscaviarum	Bacteria
3PZT	A	CAB13696.2	327.0		46.0	224308.0	bacillus_subtilis	Bacteria
1ITH	A	AAA30331.1	141.0			6431.0	urechis_caupo	Eukaryota
4HDT	A	EHI14362.1	353.0		39.0	1078020.0	mycobacterium_thermoresistibile	Bacteria
2F4M	B	CAA63146.1	61.0			10090.0	mus_musculus	Eukaryota
4GL0	A	CAC98888.1	333.0		35.0	169963.0	listeria_monocytogenes	Bacteria
1ZH8	A	AAD35400.1	340.0		75.0	243274.0	thermotoga_maritima	Bacteria
4OWK	A	AAO07360.2	138.0		32.0	216895.0	vibrio_vulnificus	Bacteria
2O70	A	AAI29363.1	174.0			7955.0	danio_rerio	Eukaryota
3K6R	A	BAA29886.1	278.0		95.0	53953.0	pyrococcus_horikoshii	Archaea
1NO1	A	CAA66495.1	126.0			10724.0	bacillus_phage	Virus
2EBF	X	CAA82233.1	746.0		36.0	747.0	pasteurella_multocida	Bacteria
1CCW	A	CAA56921.1	137.0		37.0	1494.0	clostridium_cochlearium	Bacteria
4AQO	A	BAA77453.1	92.0			1498.0	hathewaya_histolytica	Bacteria
4U9B	A	AAN55189.1	187.0		30.0	211586.0	shewanella_oneidensis	Bacteria
4B91	A	AAH02874.1	484.0		37.0	9606.0	homo_sapiens	Eukaryota
3WSW	A	BAO06937.1	322.0		37.0	53346.0	enterococcus_mundtii	Bacteria
4H2K	A	AAC21776.1	269.0		37.0	71421.0	haemophilus_influenzae	Bacteria
1HBK	A	CZU00474.1	89.0		37.0	5833.0	plasmodium_falciparum	Eukaryota
2E8E	A	AAC07473.1	132.0			224324.0	aquifex_aeolicus	Bacteria
1ZUD	1	BAE77327.1	251.0		36.0	83333.0	escherichia_coli	Bacteria
1MHC	A	AAA60335.1	282.0			10090.0	mus_musculus	Eukaryota
3KFA	A	BAC41088.1	288.0			10090.0	mus_musculus	Eukaryota
4FLW	A	CAB50625.1	793.0		90.0	272844.0	pyrococcus_abyssi	Archaea
1PVT	A	AAD36149.1	238.0		79.0	2336.0	thermotoga_maritima	Bacteria
1PCS	A	BAA10227.1	98.0		35.0	1148.0	synechocystis_sp	Bacteria
1NSQ	A	AAM29581.1	153.0		25.0	7227.0	drosophila_melanogaster	Eukaryota
3ZOQ	B	ACE96021.1	56.0			10756.0	bacillus_phage	Virus
3EBV	A	BAA75642.1	302.0		27.0	1902.0	streptomyces_coelicolor	Bacteria
3GAE	A	DAA08956.1	253.0		28.0	4932.0	saccharomyces_cerevisiae	Eukaryota
4O6U	A	CAA76520.1	184.0		32.3	287.0	pseudomonas_aeruginosa	Bacteria
1OTG	A	CAA38986.1	125.0		36.0	498388.0	escherichia_coli	Bacteria
1V6Z	A	AAS80646.1	228.0		71.0	300852.0	thermus_thermophilus	Bacteria
1NIR	A	AAG03908.1	543.0		32.3	287.0	pseudomonas_aeruginosa	Bacteria
2GLZ	A	ACL21015.1	153.0		34.0	272564.0	desulfitobacterium_hafniense	Bacteria
1GUU	A	CAA26552.1	52.0			10090.0	mus_musculus	Eukaryota
4KH3	A	AAN82103.1	503.0		36.0	199310.0	escherichia_coli	Bacteria
2FC3	A	BAA80821.1	124.0		94.0	56636.0	aeropyrum_pernix	Archaea
3R9T	A	AAS04962.1	267.0		37.0	1770.0	mycobacterium_paratuberculosis	Bacteria
3VK0	A	AAF41586.1	114.0		37.0	122586.0	neisseria_meningitidis	Bacteria
2J78	A	CAA52276.1	468.0		79.0	2336.0	thermotoga_maritima	Bacteria
3ZH9	B	CAB14498.1	347.0		46.0	224308.0	bacillus_subtilis	Bacteria
4MJ3	A	EHB53444.1	325.0		36.0	931627.0	mycobacterium_rhodesiae	Bacteria
1RHG	A	AAA03056.1	174.0	61.0	37.0	9606.0	homo_sapiens	Eukaryota
3KPT	A	AAP09468.1	355.0		30.0	226900.0	bacillus_cereus	Bacteria
1YQB	A	AAH36743.1	100.0		37.0	9606.0	homo_sapiens	Eukaryota
1Z0J	B	BAC03860.1	59.0		37.0	9606.0	homo_sapiens	Eukaryota
1QTX	A	ABK56718.1	148.0		37.0	562.0	escherichia_coli	Bacteria
3CLM	A	AAW90238.1	352.0		37.0	242231.0	neisseria_gonorrhoeae	Bacteria
1I6P	A	AAC73237.1	220.0		37.0	562.0	escherichia_coli	Bacteria
3HRG	A	AAO79085.1	257.0		37.0	226186.0	bacteroides_thetaiotaomicron	Bacteria
2B3F	A	AAS80676.1	400.0		71.0	262724.0	thermus_thermophilus	Bacteria
2EU9	A	EAW99322.1	355.0		37.0	9606.0	homo_sapiens	Eukaryota
1MU2	A	AAB00764.1	555.0			11709.0	human_immunodeficiency	Virus
3FWN	A	AAA23919.1	480.0		36.0	83333.0	escherichia_coli	Bacteria
3C96	A	AAG07605.1	410.0		37.0	208964.0	pseudomonas_aeruginosa	Bacteria
2AMY	A	BAF84226.1	246.0		37.0	9606.0	homo_sapiens	Eukaryota
2D1Y	A	BAD70192.1	256.0		72.0	274.0	thermus_thermophilus	Bacteria
4GXX	B	AAD17229.1	176.0			88776.0	influenza_a	Virus
3RRL	B	AAD07744.1	207.0		37.0	210.0	helicobacter_pylori	Bacteria
4IRP	A	AAQ88941.1	251.0		37.0	9606.0	homo_sapiens	Eukaryota
4H0M	A	ABB57078.1	163.0		24.0	1140.0	synechococcus_elongatus	Bacteria
4L63	B	BAC16524.1	112.0		37.0	562.0	escherichia_coli	Bacteria
1Q6Z	A	AAC15502.1	528.0		27.2	303.0	pseudomonas_putida	Bacteria
2F1F	A	AAA24627.1	164.0		37.0	562.0	escherichia_coli	Bacteria
4RXX	A	EAX05076.1	430.0		37.0	9606.0	homo_sapiens	Eukaryota
3BCY	A	DAA07726.1	155.0		28.0	4932.0	saccharomyces_cerevisiae	Eukaryota
4AGI	C	EAL91145.1						
3NTU	A	AAD16066.1	319.0		33.0	523842.0	methanococcus_voltae	Archaea
3H7O	A	AAR14091.1	228.0					
1RR7	A	AAA32408.1	129.0			10677.0	escherichia_phage	Virus
3TCO	A	AAK40698.1	109.0		85.0	2287.0	sulfolobus_solfataricus	Archaea
2XLB	G	CAB76451.2			10.0	1408.0	bacillus_pumilus	Bacteria
3I28	A	AAP35531.1	555.0		37.0	9606.0	homo_sapiens	Eukaryota
4HM8	A	AAA16125.1	449.0		29.0	69011.0	pseudomonas_sp	Bacteria
1JNY	A	CAC42886.1	435.0		85.0	2287.0	sulfolobus_solfataricus	Archaea
1LI4	A	EAW76279.1	432.0		37.0	9606.0	homo_sapiens	Eukaryota
1TQX	A	CZT99360.1	227.0		37.0	36329.0	plasmodium_falciparum	Eukaryota
4QDF	B	ADY18310.1			28.5	1829.0	rhodococcus_rhodochrous	Bacteria
3ILV	A	ABG59673.1	634.0		29.0	269798.0	cytophaga_hutchinsonii	Bacteria
2ELC	A	BAD71665.1	329.0		71.0	300852.0	thermus_thermophilus	Bacteria
4B9B	C	AAG03522.1			32.3	287.0	pseudomonas_aeruginosa	Bacteria
4E57	A	AAC34685.2	698.0		29.0	81841.0	pseudomonas_sp	Bacteria
3U1R	A	ACY25898.1	480.0		29.0	686394.0	flavobacterium_sp	Bacteria
1OOT	A	BAA09263.1	60.0		28.0	4932.0	saccharomyces_cerevisiae	Eukaryota
3LX2	A	BAD84771.1	259.0		80.0	311400.0	thermococcus_kodakarensis	Archaea
1VBJ	A	BAB17681.1	281.0		30.0	5691.0	trypanosoma_brucei	Eukaryota
3R68	A	BAB24493.1	95.0			10090.0	mus_musculus	Eukaryota
3US0	A	AAQ63452.1	203.0		37.0	9606.0	homo_sapiens	Eukaryota
3TOJ	A	AAC13564.1	213.0		37.0	9606.0	homo_sapiens	Eukaryota
3WKQ	A	ABO66030.1	323.0		57.0	420246.0	geobacillus_thermodenitrificans	Bacteria
2H21	A	AAA69903.1	440.0			3888.0	pisum_sativum	Eukaryota
1GEF	A	AAL81627.1	123.0		100.0	2261.0	pyrococcus_furiosus	Archaea
4FVA	A	CAA21707.1	256.0			6239.0	caenorhabditis_elegans	Eukaryota
2Z01	A	BAD74550.1	348.0		60.0	1462.0	geobacillus_kaustophilus	Bacteria
3BOF	A	AAD35357.1	566.0		79.0	2336.0	thermotoga_maritima	Bacteria
4HKX	E	ABU50586.1	220.0			464623.0	influenza_a	Virus
2IA2	A	ABG93163.1	265.0		29.0	101510.0	rhodococcus_jostii	Bacteria
1EDQ	A	BAA31567.1	540.0		29.0	615.0	serratia_marcescens	Bacteria
1ZFJ	A	AAB03846.1	491.0		37.0	1314.0	streptococcus_pyogenes	Bacteria
4DLH	A	AAG19211.1	197.0		42.0	64091.0	halobacterium_salinarum	Archaea
2FY6	A	CAM07595.1	143.0		37.0	122587.0	neisseria_meningitidis	Bacteria
1TMX	A	AAV71144.1	293.0		27.5	2045.0	nocardioides_simplex	Bacteria
3BPS	E	BAG59010.1	83.0		37.0	9606.0	homo_sapiens	Eukaryota
1Q5Y	A	AAB18456.1	85.0		37.0	562.0	escherichia_coli	Bacteria
1H9M	A	CAA90038.1	145.0		29.5	354.0	azotobacter_vinelandii	Bacteria
1TCF	A	AAA31481.1	159.0		39.0	9986.0	oryctolagus_cuniculus	Eukaryota
3LTO	A	AAU28109.1	323.0		37.0	272624.0	legionella_pneumophila	Bacteria
3LXZ	A	AAN65816.1	229.0		27.0	160488.0	pseudomonas_putida	Bacteria
1ARB	A	AAA78946.1	268.0		30.0	224.0	achromobacter_lyticus	Bacteria
3HAZ	A	BAC52526.1	1001.0		26.0	224911.0	bradyrhizobium_diazoefficiens	Bacteria
3P8L	A	AAO80787.1	302.0		36.3	1351.0	enterococcus_faecalis	Bacteria
3V4K	A	CAG30358.1	203.0		37.0	9606.0	homo_sapiens	Eukaryota
4KM6	A	CAG46816.1	208.0		37.0	9606.0	homo_sapiens	Eukaryota
4JF5	A	ADI24454.1	243.0		33.5	470.0	acinetobacter_baumannii	Bacteria
3F31	A	BAE24569.1	149.0		37.0	9606.0	homo_sapiens	Eukaryota
4FZR	A	ADE34512.1	398.0		28.0	746675.0	streptomyces_sp	Bacteria
2WCI	A	BAA15420.1	135.0		37.0	562.0	escherichia_coli	Bacteria
3QXZ	A	CAM60204.1	265.0		35.0	561007.0	mycobacterium_abscessus	Bacteria
3NCQ	A	AAB89507.1	119.0		81.0	2234.0	archaeoglobus_fulgidus	Archaea
1WNY	A	BAD70890.1	186.0		72.0	274.0	thermus_thermophilus	Bacteria
2Z14	A	AAH31039.1	133.0		37.0	9606.0	homo_sapiens	Eukaryota
1KI1	B	AAC78611.1	352.0		37.0	9606.0	homo_sapiens	Eukaryota
1HYU	A	AAL19560.1	521.0			90371.0	salmonella_typhimurium	Bacteria
2RAO	B	AAA31273.1	146.0		39.0	9986.0	oryctolagus_cuniculus	Eukaryota
4FCC	A	BBC50637.1	450.0		36.0	83334.0	escherichia_coli	Bacteria
1P9L	A	AAC45142.1	245.0		37.0	1773.0	mycobacterium_tuberculosis	Bacteria
2Y3C	A	AAS12788.1	294.0		37.0	158.0	treponema_denticola	Bacteria
2JIG	A	PNW84832.1	224.0		23.0	3055.0	chlamydomonas_reinhardtii	Eukaryota
3UT4	A	ABN53950.1	134.0			203119.0	clostridium_thermocellum	Bacteria
2ANY	A	EAX04623.1	241.0		37.0	9606.0	homo_sapiens	Eukaryota
3Q3V	A	CAL35511.1	403.0		37.0	192222.0	campylobacter_jejuni	Bacteria
2XC8	A	CAA66566.1	146.0			10724.0	bacillus_phage	Virus
3N0W	A	ABE36824.1	379.0		30.0	266265.0	paraburkholderia_xenovorans	Bacteria
4PXW	A	AAH22792.1	381.0		37.0	9606.0	homo_sapiens	Eukaryota
8RUC	A	CAA23473.1	475.0			3562.0	spinacia_oleracea	Eukaryota
1VK4	A	AAD35500.1	298.0		79.0	2336.0	thermotoga_maritima	Bacteria
1EE8	A	BAA24892.1	266.0		71.0	300852.0	thermus_thermophilus	Bacteria
1ILR	1	AAC39672.1	152.0		37.0	9606.0	homo_sapiens	Eukaryota
1E4M	M	CAA42533.1	501.0			3728.0	sinapis_alba	Eukaryota
3A1J	C	AAH06837.1	263.0		37.0	9606.0	homo_sapiens	Eukaryota
1E3J	A	AAD02817.1	352.0			77855.0	bemisia_argentifolii	Eukaryota
3D3O	A	CAG68657.1	178.0		31.0	62977.0	acinetobacter_baylyi	Bacteria
4JIU	A	CAB49216.1	105.0		90.0	272844.0	pyrococcus_abyssi	Archaea
3JV9	A	AAF40630.1	219.0		37.0	122586.0	neisseria_meningitidis	Bacteria
1NP6	A	AAB02991.1	174.0		37.0	562.0	escherichia_coli	Bacteria
1UXY	A	AAC76950.1	340.0		37.0	562.0	escherichia_coli	Bacteria
4L0F	A	AEA30275.1	446.0		28.0	1001349.0	streptomyces_sp	Bacteria
4V3I	A	AAF96029.1	257.0		33.0	666.0	vibrio_cholerae	Bacteria
1SZH	A	CAA79651.1	161.0			6239.0	caenorhabditis_elegans	Eukaryota
4IDH	A	AAQ12192.1	490.0			10761.0	shigella_phage	Virus
1O22	A	AAD35956.1	170.0		79.0	2336.0	thermotoga_maritima	Bacteria
2ES0	A	AAC26050.1	148.0		37.0	9606.0	homo_sapiens	Eukaryota
3HID	A	CAL19060.1	432.0		37.0	214092.0	yersinia_pestis	Bacteria
1YBH	A	AAW70386.1	590.0		25.0	3702.0	arabidopsis_thaliana	Eukaryota
3UPS	A	AAV90287.1	136.0		29.0	264203.0	zymomonas_mobilis	Bacteria
2FYG	A	AAP82976.1	128.0			227859.0	human_sars	Virus
3R03	A	ABC21198.1	144.0		27.0	269796.0	rhodospirillum_rubrum	Bacteria
1D2T	A	BAA84942.1	231.0		33.0	563.0	shimwellia_blattae	Bacteria
1G6A	A	AAA25979.1	271.0		32.3	287.0	pseudomonas_aeruginosa	Bacteria
3CZ1	A	AAD51944.1	119.0			7460.0	apis_mellifera	Eukaryota
2IWR	A	AAC39522.2	178.0		37.0	9606.0	homo_sapiens	Eukaryota
2BWR	A	ABB17278.1	401.0			71681.0	lacrymaria_velutina	Eukaryota
1BQB	A	CAB59568.1	301.0		37.0	1280.0	staphylococcus_aureus	Bacteria
1HN0	A	ACY01450.1	1021.0		36.0	585.0	proteus_vulgaris	Bacteria
2OPI	A	CUP89811.1	212.0		37.0	226186.0	bacteroides_thetaiotaomicron	Bacteria
1Y0P	A	CAB38558.1	571.0		21.0	56812.0	shewanella_frigidimarina	Bacteria
3HO6	A	AAA23283.1	267.0			1496.0	clostridioides_difficile	Bacteria
1LO0	X	CAA24189.1				10090.0	mus_musculus	Eukaryota
3C0I	A	AAB88198.1	351.0		37.0	9606.0	homo_sapiens	Eukaryota
2I52	A	AAT42803.1	121.0		55.0	263820.0	picrophilus_torridus	Archaea
4IZ7	B	AAC97496.1				10029.0	cricetulus_griseus	Eukaryota
2A67	A	AAO82771.1	167.0		37.0	226185.0	enterococcus_faecalis	Bacteria
2CF5	A	AEE86344.1	357.0		25.0	3702.0	arabidopsis_thaliana	Eukaryota
1TYJ	A	AAG01230.2	170.0		32.5	35825.0	pseudobacteroides_cellulosolvens	Bacteria
3EQN	A	BAE48426.1	758.0		25.0	5306.0	phanerochaete_chrysosporium	Eukaryota
3FG9	A	CCC80617.1	156.0		35.2	1590.0	lactobacillus_plantarum	Bacteria
3OHS	X	BAA83489.1	334.0			9541.0	macaca_fascicularis	Eukaryota
1YTQ	A	AAA16864.1	204.0		37.0	9606.0	homo_sapiens	Eukaryota
1U7B	A	BAG36094.1	261.0		37.0	9606.0	homo_sapiens	Eukaryota
1GSU	A	CAA41202.1	219.0		41.0	9031.0	gallus_gallus	Eukaryota
2PPW	A	AAK74495.1	216.0		37.0	170187.0	streptococcus_pneumoniae	Bacteria
4H5U	A	AAF87100.1	341.0		28.0	559292.0	saccharomyces_cerevisiae	Eukaryota
3RVA	A	AUI81249.1	451.0		23.0	28108.0	alteromonas_macleodii	Bacteria
3PU7	A	CAA32200.1	154.0			4081.0	solanum_lycopersicum	Eukaryota
3JSR	A	BAB77740.1	119.0		23.0	103690.0	nostoc_sp	Bacteria
4GQB	B	AAL79917.1	344.0		37.0	9606.0	homo_sapiens	Eukaryota
2AH6	A	BAB05314.1	208.0		31.0	272558.0	bacillus_halodurans	Bacteria
4MGE	A	AAT34582.1	116.0		37.0	261594.0	bacillus_anthracis	Bacteria
4PRS	A	AAD35678.1	227.0		75.0	243274.0	thermotoga_maritima	Bacteria
2VFR	A	CAA22381.1	422.0		30.0	100226.0	streptomyces_coelicolor	Bacteria
4M51	A	BAF69543.1	427.0			387092.0	nitratiruptor_sp	Bacteria
2WCW	A	AAB89293.1	139.0		81.0	2234.0	archaeoglobus_fulgidus	Archaea
1JXH	A	AAB66492.1	288.0			90371.0	salmonella_typhimurium	Bacteria
2PS2	A	BAE64617.1	371.0		25.0	510516.0	aspergillus_oryzae	Eukaryota
3E9T	A	EDW51634.1	114.0		25.0	7227.0	drosophila_melanogaster	Eukaryota
4KVG	B	AAH23110.1	260.0			10090.0	mus_musculus	Eukaryota
3IBD	A	AAF32444.1	476.0		37.0	9606.0	homo_sapiens	Eukaryota
3JYR	A	AAL23053.1	396.0		37.0	90371.0	salmonella_typhimurium	Bacteria
1IUK	A	BAC45255.1	140.0		72.0	274.0	thermus_thermophilus	Bacteria
2FPQ	A	AAB24244.1	444.0		37.0	1491.0	clostridium_botulinum	Bacteria
3QAN	A	BAB06456.1	538.0		30.0	86665.0	bacillus_halodurans	Bacteria
3D6M	A	AAC50108.1	179.0		37.0	9606.0	homo_sapiens	Eukaryota
4K9Q	A	ABP34304.1	539.0		28.0	576610.0	polynucleobacter_necessarius	Bacteria
2G1P	A	CAA33254.1	278.0		37.0	562.0	escherichia_coli	Bacteria
1GUI	A	AAD35118.1	155.0		79.0	2336.0	thermotoga_maritima	Bacteria
3C1Q	A	AAF95871.1	123.0		33.0	666.0	vibrio_cholerae	Bacteria
1YQH	A	AAP07464.1	109.0		30.0	226900.0	bacillus_cereus	Bacteria
1MTY	G	AAU92724.1	162.0		41.0	243233.0	methylococcus_capsulatus	Bacteria
1IKT	A	BAG62787.1	120.0		37.0	9606.0	homo_sapiens	Eukaryota
2WW4	A	AAC74292.1	283.0		37.0	562.0	escherichia_coli	Bacteria
4HWN	A	AAL23901.1	108.0		37.0	9606.0	homo_sapiens	Eukaryota
4GMQ	A	EGS23922.1	103.0		44.0	759272.0	chaetomium_thermophilum	Eukaryota
3MY9	A	BAF86817.1	377.0		30.0	438753.0	azorhizobium_caulinodans	Bacteria
4AQI	A	AAO40033.1	109.0		37.0	9606.0	homo_sapiens	Eukaryota
2P3H	A	BAB98587.1	101.0		30.0	1718.0	corynebacterium_glutamicum	Bacteria
2V9T	A	AAI15023.1	117.0		37.0	9606.0	homo_sapiens	Eukaryota
2FEL	A	AAX11215.1	359.0		27.0	358.0	rhizobium_radiobacter	Bacteria
2QQI	A	EAW85942.1	318.0		37.0	9606.0	homo_sapiens	Eukaryota
1D2V	C	CAA33438.1	466.0		37.0	9606.0	homo_sapiens	Eukaryota
2ZPA	A	AAC75527.1	671.0		36.0	83333.0	escherichia_coli	Bacteria
1N5D	A	AAA30980.1	288.0			9823.0	sus_scrofa	Eukaryota
2YD4	A	AAA64460.1	210.0		41.0	9031.0	gallus_gallus	Eukaryota
3SYX	A	AAH18015.1	130.0		37.0	9606.0	homo_sapiens	Eukaryota
3KFL	A	CAJ04288.1	564.0		24.0	5664.0	leishmania_major	Eukaryota
3FI8	A	CZT99724.1	362.0		37.0	36329.0	plasmodium_falciparum	Eukaryota
4BIN	A	BAE76886.1	403.0		36.0	83333.0	escherichia_coli	Bacteria
1J1I	A	BAC56745.1	296.0			29580.0	janthinobacterium	Bacteria
1J75	A	BAB25513.1	67.0			10090.0	mus_musculus	Eukaryota
3NGX	A	CAC12027.1	276.0		59.0	2303.0	thermoplasma_acidophilum	Archaea
4BGC	A	AAC31761.1	102.0		37.0	9606.0	homo_sapiens	Eukaryota
4GYO	A	CAB12076.1	373.0		46.0	224308.0	bacillus_subtilis	Bacteria
1N1J	A	CAA42230.1	93.0		37.0	9606.0	homo_sapiens	Eukaryota
1GWC	A	EMT06693.1	230.0			37682.0	aegilops_tauschii	Eukaryota
4QRJ	A	EDO52117.1	353.0		37.0	411479.0	bacteroides_uniformis	Bacteria
3TSM	A	CAJ11120.1	272.0		37.0	359391.0	brucella_abortus	Bacteria
4MSX	A	DAA12445.1	482.0		28.0	4932.0	saccharomyces_cerevisiae	Eukaryota
2J66	A	BAE07075.1	428.0		32.0	1397.0	bacillus_circulans	Bacteria
3OCP	A	AAH62688.1	139.0		37.0	9606.0	homo_sapiens	Eukaryota
3MUQ	A	BAC59763.1	237.0		31.0	223926.0	vibrio_parahaemolyticus	Bacteria
1U79	A	CAB64723.1	129.0		25.0	3702.0	arabidopsis_thaliana	Eukaryota
3OFG	A	CCD68769.1	95.0			6239.0	caenorhabditis_elegans	Eukaryota
4BFG	A	AAH52682.1	216.0			10090.0	mus_musculus	Eukaryota
3C5A	A	AFM43643.1	264.0		37.0	562.0	escherichia_coli	Bacteria
4FCA	A	AAP28968.1	525.0		37.0	198094.0	bacillus_anthracis	Bacteria
1E7W	A	CAJ03998.1	291.0		24.0	5664.0	leishmania_major	Eukaryota
4LHF	A	AAD03299.1	91.0			10679.0	escherichia_phage	Virus
1K6Q	L	CAA24189.1	210.0			10090.0	mus_musculus	Eukaryota
2DBQ	A	BAA29686.1	334.0		95.0	53953.0	pyrococcus_horikoshii	Archaea
1TZJ	A	AAA25689.1	338.0		29.0	74568.0	pseudomonas_sp	Bacteria
4UZY	B	EDP04111.1	52.0		23.0	3055.0	chlamydomonas_reinhardtii	Eukaryota
2Q02	A	AAL23255.1	272.0			99287.0	salmonella_typhimurium	Bacteria
1I1W	A	AAF24127.1	303.0		42.0	5087.0	thermoascus_aurantiacus	Eukaryota
1LFW	A	CAA83252.1	470.0		36.0	29397.0	lactobacillus_delbrueckii	Bacteria
3UH0	A	CAA82038.1	460.0		28.0	559292.0	saccharomyces_cerevisiae	Eukaryota
3CM0	A	BAD71494.1	186.0		72.0	274.0	thermus_thermophilus	Bacteria
4PL9	A	AEE34497.1	183.0		25.0	3702.0	arabidopsis_thaliana	Eukaryota
1RQB	A	CAE54442.1	539.0		31.0	1752.0	propionibacterium_freudenreichii	Bacteria
4M3A	A	AAB48381.1	394.0		25.0	7227.0	drosophila_melanogaster	Eukaryota
2WKN	A	ABX32871.1	409.0		30.0	80866.0	delftia_acidovorans	Bacteria
1Z21	A	CAB54934.1	112.0		27.0	632.0	yersinia_pestis	Bacteria
4OJU	A	EDN01442.1	148.0		37.0	411467.0	pseudoflavonifractor_capillosus	Bacteria
4R2V	A	AAD07177.1	314.0		37.0	85962.0	helicobacter_pylori	Bacteria
2DB0	A	BAA29631.1	253.0		95.0	70601.0	pyrococcus_horikoshii	Archaea
4A9V	A	ABA76916.1	592.0		28.0	205922.0	pseudomonas_fluorescens	Bacteria
2NML	A	CAG29294.1	104.0		37.0	9606.0	homo_sapiens	Eukaryota
1YUP	A	AAZ57420.1	162.0			9870.0	rangifer_tarandus	Eukaryota
3FM3	A	CAD25794.1	358.0		36.0	6035.0	encephalitozoon_cuniculi	Eukaryota
